group_3495	VFG002065(gb|NP_248769)	100	444	100	0.0	874	VFG002065(gb|NP_248769) (hsiJ1) type VI secretion system hcp secretion island protein HsiJ1 [HSI-1 (VF0334) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]
group_19452	VFG002071(gb|NP_248775)	100	162	100	2.39e-101	285	VFG002071(gb|NP_248775) (hcp1) type VI secretion system substrate Hcp1 [HSI-1 (VF0334) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]
pilT	VFG001223(gb|NP_249086)	100	344	100	1.68e-246	667	VFG001223(gb|NP_249086) (pilT) twitching motility protein PilT [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]
pilT	VFG050386(gb|WP_000355489.1)	84.3	344	100	9.21e-210	575	VFG050386(gb|WP_000355489.1) (pilT) type IV pilus twitching motility protein PilT [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU]
pilU	VFG001224(gb|NP_249087)	100	382	100	2.15e-275	744	VFG001224(gb|NP_249087) (pilU) twitching motility protein PilU [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]
pilH	VFG001226(gb|NP_249100)	99.2	122	100	1.11e-82	235	VFG001226(gb|NP_249100) (pilH) twitching motility protein PilH [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa PAO1]
lasB	VFG000146(gb|NP_252413)	99.8	498	100	0.0	985	VFG000146(gb|NP_252413) (lasB) elastase LasB [LasB (VF0087) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]
motY	VFG014733(gb|NP_252216)	99.7	322	100	9.10e-226	613	VFG014733(gb|NP_252216) (motY) probable outer membrane protein precursor [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]
rhlI	VFG000153(gb|NP_252166)	99.5	201	100	5.02e-147	404	VFG000153(gb|NP_252166) (rhlI) autoinducer synthesis protein RhlL [Quorum sensing (VF0093) - Biofilm (VFC0271)] [Pseudomonas aeruginosa PAO1]
xcpR	VFG000182(gb|NP_251793)	100	502	100	0.0	959	VFG000182(gb|NP_251793) (xcpR) general secretion pathway protein E [Xcp secretion system (VF0084) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]
phzB	VFG015527(gb|NP_250591)	98.2	112	73.5	1.04e-83	240	VFG015527(gb|NP_250591) (phzB2) phenazine biosynthesis protein PhzB [Pyocyanin (VF0100) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas aeruginosa PAO1]
phzB	VFG015506(gb|NP_252900)	86.6	112	73.5	2.74e-72	211	VFG015506(gb|NP_252900) (phzB1) phenazine biosynthesis protein PhzB [Pyocyanin (VF0100) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas aeruginosa PAO1]
phzB	VFG015521(gb|NP_252906)	88.7	53	35.1	1.68e-31	109	VFG015521(gb|NP_252906) (phzG1) phenazine biosynthesis protein PhzG, pyridoxamine 5'-phosphate oxidase [Pyocyanin (VF0100) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas aeruginosa PAO1]
phzB	VFG015542(gb|NP_252905)	88.7	53	35.1	1.73e-31	109	VFG015542(gb|NP_252905) (phzG2) pyridoxamine 5'-phosphate oxidase [Pyocyanin (VF0100) - Nutritional/Metabolic factor (VFC0272)] [Pseudomonas aeruginosa PAO1]
stp1	VFG041028(gb|NP_250361)	100	242	100	9.91e-172	470	VFG041028(gb|NP_250361) (stp1) serine/threonine phosphoprotein phosphatase Stp1 [HSI-2 (VF0943) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]
group_8548	VFG041026(gb|NP_250359)	100	289	100	5.21e-211	573	VFG041026(gb|NP_250359) (icmH/tssL) type IVB secretion system protein IcmH/DotU [HSI-2 (VF0943) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]
group_6267	VFG041019(gb|NP_250352)	99.1	335	100	1.02e-247	670	VFG041019(gb|NP_250352) (tssG) type VI secretion system baseplate subunit TssG [HSI-2 (VF0943) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]
group_18436	VFG014486(gb|NP_250133)	100	173	100	3.10e-116	324	VFG014486(gb|NP_250133) (fliL) flagellar basal body protein FliL [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]
flgG	VFG001240(gb|NP_249773)	100	261	100	6.43e-182	497	VFG001240(gb|NP_249773) (flgG) flagellar basal-body rod protein FlgG [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]
flgC	VFG001236(gb|NP_249769)	100	146	100	9.42e-98	275	VFG001236(gb|NP_249769) (flgC) flagellar basal-body rod protein FlgC [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]
waaG	VFG000140(gb|NP_253696)	100	268	100	1.61e-199	542	VFG000140(gb|NP_253696) (waaP) UDP-glucose:(heptosyl) LPS alpha 1,3-glucosyltransferase WaaG [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]
waaC	VFG000142(gb|NP_253698)	100	355	100	4.44e-268	723	VFG000142(gb|NP_253698) (waaC) 3-deoxy-D-manno-octulosonic-acid (KDO) transferase [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]
fliC	VFG001246(gb|NP_249783)	99.6	490	100	1.83e-275	753	VFG001246(gb|NP_249783) (fliC) B-type flagellin [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas aeruginosa PAO1]
hisF	VFG014107(gb|NP_251841)	100	251	100	8.87e-184	501	VFG014107(gb|NP_251841) (hisF2) imidazole glycerol phosphate synthase subunit HisF [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]
wbpD	VFG014102(gb|NP_251846)	100	191	100	1.82e-110	311	VFG014102(gb|NP_251846) (wbpD) UDP-2-acetamido-3-amino-2, 3-dideoxy-D-glucuronate N-acetyltransferase [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]
wbpB	VFG014100(gb|NP_251848)	100	316	100	1.13e-239	648	VFG014100(gb|NP_251848) (wbpB) UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]
group_18493	VFG000189(gb|NP_250385)	98.5	68	39.5	9.26e-40	134	VFG000189(gb|NP_250385) (pscQ) type III secretion system protein PscQ [TTSS (VF0083) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]
tse6	VFG051485(gb|NP_248783.1)	99.5	430	100	7.40e-289	782	VFG051485(gb|NP_248783.1) (tse6) NAD(P)(+) glycohydrolase toxin Tse6 [HSI-1 T6SS secreted effectors (VF1194) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]
vgrG1a	VFG002077(gb|NP_248781)	90.8	642	99.4	0.0	1149	VFG002077(gb|NP_248781) (vgrG1a) type VI secretion system substrate VgrG1 [HSI-1 (VF0334) - Effector delivery system (VFC0086)] [Pseudomonas aeruginosa PAO1]
